run,epochs,sample_stride,disabled,train_rows,test_rows,feature_dim,device,accuracy,precision_macro,recall_macro,f1_macro,mean_confidence,n,epoch,switch_use_dynamic,switch_use_contact_features,switch_use_contact_map_stats,switch_use_residue_features,switch_use_residue_position
training_outputs_clean300_ablation_no_contact_features_epoch100,100,500,contact_features,130078,28496,72,cuda,0.807657215047726,0.5562608583707049,0.5189409986426646,0.5325882703035546,0.8649592399597168,28496.0,100.0,True,False,True,True,True
training_outputs_clean300_ablation_no_contact_all_epoch100,100,500,contact_features+contact_map_stats,130078,28496,68,cuda,0.7966381246490736,0.5485389959243635,0.5073871808868106,0.5232214225179891,0.855018675327301,28496.0,100.0,True,False,False,True,True
training_outputs_clean300_ablation_no_contact_map_stats_epoch100,100,500,contact_map_stats,130078,28496,74,cuda,0.7997964626614261,0.5692155241037711,0.5431526802824355,0.5491214407266033,0.8696491122245789,28496.0,100.0,True,True,False,True,True
training_outputs_clean300_ablation_no_dynamic_epoch100,100,500,dynamic,130078,28496,67,cuda,0.802463503649635,0.5707405950836554,0.5296614886399358,0.5314026562721862,0.8319312930107117,28496.0,100.0,False,True,True,True,True
training_outputs_clean300_epoch100,100,100,none,616898,135136,78,cuda,0.8161555766043097,0.558398369215047,0.5315160077350981,0.5386705892804481,0.8588155508041382,135136.0,100.0,True,True,True,True,True
training_outputs_clean300_epoch100_stride500,100,500,none,130078,28496,78,cuda,0.809727681078046,0.5780855702690156,0.551350419806265,0.5566700146955302,0.8793396949768066,28496.0,100.0,True,True,True,True,True
training_outputs_clean300_epoch300_stride500,300,500,none,130078,28496,78,cuda,0.8001473891072431,0.5470123134689946,0.5383435100788597,0.5378056897685627,0.9056767225265504,28496.0,300.0,True,True,True,True,True
training_outputs_clean300_epoch500_stride500,500,500,none,130078,28496,78,cuda,0.8008492419988771,0.5467804235231474,0.5416533447414558,0.5400436097452246,0.9156066179275512,28496.0,500.0,True,True,True,True,True
training_outputs_clean300_ablation_no_position_epoch100,100,500,position,130078,28496,76,cuda,0.8110261089275688,0.5752145947089271,0.5595310616507817,0.561330046317397,0.875885009765625,28496.0,100.0,True,True,True,True,False
training_outputs_clean300_ablation_no_residue_features_epoch100,100,500,residue_features,130078,28496,23,cuda,0.808464345873105,0.565461634530113,0.5308640705891842,0.5412250208398232,0.859630286693573,28496.0,100.0,True,True,True,False,True
