run,model_family,disabled,epochs,sample_stride,accuracy,f1_macro,precision_macro,recall_macro,n
training_outputs_clean300_full_contact_epoch100,FullContactMapDSSPModel,none,100,500,0.8430306007860753,0.58709183364365,0.631074327370234,0.5903231601523714,28496
training_outputs_clean300_epoch100,MLPFrameResidue,none,100,100,0.8161555766043097,0.5386705892804481,0.558398369215047,0.5315160077350981,135136
training_outputs_clean300_ablation_no_position_epoch100,MLPFrameResidue,position,100,500,0.8110261089275688,0.561330046317397,0.5752145947089271,0.5595310616507817,28496
training_outputs_clean300_epoch100_stride500,MLPFrameResidue,none,100,500,0.809727681078046,0.5566700146955302,0.5780855702690156,0.551350419806265,28496
training_outputs_clean300_ablation_no_residue_features_epoch100,MLPFrameResidue,residue_features,100,500,0.808464345873105,0.5412250208398232,0.565461634530113,0.5308640705891842,28496
training_outputs_clean300_ablation_no_contact_features_epoch100,MLPFrameResidue,contact_features,100,500,0.807657215047726,0.5325882703035546,0.5562608583707049,0.5189409986426646,28496
training_outputs_clean300_ablation_no_dynamic_epoch100,MLPFrameResidue,dynamic,100,500,0.802463503649635,0.5314026562721862,0.5707405950836554,0.5296614886399358,28496
training_outputs_clean300_epoch500_stride500,MLPFrameResidue,none,500,500,0.8008492419988771,0.5400436097452246,0.5467804235231474,0.5416533447414558,28496
training_outputs_clean300_epoch300_stride500,MLPFrameResidue,none,300,500,0.8001473891072431,0.5378056897685627,0.5470123134689946,0.5383435100788597,28496
training_outputs_clean300_ablation_no_contact_map_stats_epoch100,MLPFrameResidue,contact_map_stats,100,500,0.7997964626614261,0.5491214407266033,0.5692155241037711,0.5431526802824355,28496
training_outputs_clean300_ablation_no_contact_all_epoch100,MLPFrameResidue,contact_features+contact_map_stats,100,500,0.7966381246490736,0.5232214225179891,0.5485389959243635,0.5073871808868106,28496
