group,root,run_dir,run_name,n_xtc,n_gro,n_tpr,n_pullf,has_protein_xtc,has_whole_xtc,has_noH_xtc,has_pullf,ready_basic,xtc_files,gro_files,pullf_files
Q46,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2,Q46p2,0,1,0,0,False,False,False,False,False,,noH.gro,
Q46,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2/v316,v316,1,0,0,1,False,False,False,True,False,proteinv316.xtc,,v316_pullf.xvg
Q46,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2/v205,v205,4,6,3,1,True,True,True,True,True,whole_pbc.xtc;protein.xtc;noH.xtc;whole.xtc,em2.gro;1ns.gro;v205.gro;npt1.gro;noH.gro;npt3.gro,v205_pullf.xvg
Q46,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2/v222,v222,3,7,2,1,True,True,True,True,True,protein.xtc;noH.xtc;whole.xtc,em2.gro;v222.gro;protein.gro;1ns.gro;npt1.gro;noH.gro,v222_pullf.xvg
Q46,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2/v238,v238,4,6,2,1,True,True,True,True,True,protein.xtc;noH.xtc;wholenoH.xtc;whole.xtc,em2.gro;v238.gro;1ns.gro;npt1.gro;noH.gro;npt3.gro,v238_pullf.xvg
Q46,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2/v249,v249,3,6,2,1,True,True,True,True,True,protein.xtc;noH.xtc;whole.xtc,em2.gro;1ns.gro;npt1.gro;noH.gro;v249.gro;npt3.gro,v249_pullf.xvg
Q46,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2/v241,v241,3,6,2,1,True,True,True,True,True,protein.xtc;noH.xtc;whole.xtc,em2.gro;v241.gro;1ns.gro;npt1.gro;noH.gro;npt3.gro,v241_pullf.xvg
Q46,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2/v509,v509,2,6,2,1,True,True,False,True,True,protein.xtc;whole.xtc,em2.gro;Q46z10A.gro;1ns.gro;npt1.gro;v509.gro;npt3.gro,v509_pullf.xvg
Q46,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2/v319,v319,1,0,0,1,True,False,False,True,False,protein.xtc,,v319_pullf.xvg
Q46,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2/v210,v210,3,6,2,1,True,True,True,True,True,protein.xtc;noH.xtc;whole.xtc,em2.gro;1ns.gro;npt1.gro;noH.gro;npt3.gro;v210.gro,v210_pullf.xvg
Q46,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2/v224,v224,3,6,2,1,True,True,True,True,True,protein.xtc;noH.xtc;whole.xtc,em2.gro;1ns.gro;npt1.gro;noH.gro;npt3.gro;v224.gro,v224_pullf.xvg
Q46,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2/v203,v203,3,6,2,1,True,True,True,True,True,protein.xtc;noH.xtc;whole.xtc,em2.gro;1ns.gro;npt1.gro;noH.gro;npt3.gro;v203.gro,v203_pullf.xvg
Q46,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2/v323,v323,1,0,0,1,True,False,False,True,False,protein.xtc,,v323_pullf.xvg
Q46,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2/v303,v303,1,0,0,1,False,False,False,True,False,proteinv303.xtc,,v303_pullf.xvg
Q46,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2/v305,v305,1,1,0,1,False,False,False,True,True,proteinv305.xtc,proteinini1.gro,v305_pullf.xvg
Q46,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2/v307,v307,1,0,0,1,False,False,False,True,False,proteinv307.xtc,,v307_pullf.xvg
Q46,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2/v245,v245,3,6,2,1,True,True,True,True,True,protein.xtc;noH.xtc;whole.xtc,em2.gro;v245.gro;1ns.gro;npt1.gro;noH.gro;npt3.gro,v245_pullf.xvg
Q46,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2/v314,v314,1,0,0,1,False,False,False,True,False,proteinv314.xtc,,v314_pullf.xvg
Q46,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2/v230,v230,3,6,2,1,True,True,True,True,True,protein.xtc;noH.xtc;whole.xtc,em2.gro;1ns.gro;npt1.gro;noH.gro;npt3.gro;v230.gro,v230_pullf.xvg
Q46,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2/v202,v202,3,7,3,2,True,True,True,True,True,protein.xtc;noH.xtc;whole.xtc,em2.gro;1ns.gro;npt1.gro;noH.gro;npt3.gro;v202.gro,v202_pullf.xvg;v202new_pullf.xvg
Q46,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2/v212,v212,3,6,2,1,True,True,True,True,True,protein.xtc;noH.xtc;whole.xtc,em2.gro;1ns.gro;npt1.gro;noH.gro;npt3.gro;v212.gro,v212_pullf.xvg
Q46,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2/v211,v211,3,6,2,1,True,True,True,True,True,protein.xtc;noH.xtc;whole.xtc,em2.gro;1ns.gro;npt1.gro;noH.gro;npt3.gro;v211.gro,v211_pullf.xvg
Q46,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2/v510,v510,2,6,2,1,True,True,False,True,True,protein.xtc;whole.xtc,em2.gro;Q46z10A.gro;1ns.gro;npt1.gro;npt3.gro;v510.gro,v510_pullf.xvg
Q46,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2/v236,v236,3,6,2,1,False,True,True,True,True,proteinv236.xtc;noH.xtc;whole.xtc,em2.gro;v236.gro;1ns.gro;npt1.gro;noH.gro;npt3.gro,v236_pullf.xvg
Q46,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2/v228,v228,4,6,2,1,True,True,True,True,True,protein.xtc;noH.xtc;fit.xtc;whole.xtc,v228.gro;em2.gro;1ns.gro;npt1.gro;noH.gro;npt3.gro,v228_pullf.xvg
Q46,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2,/media/zj/5e3e7fef-d2f0-47aa-9148-5fca8b7098d41/chenj/IDP/Q46p2/v229,v229,3,6,2,1,True,True,True,True,True,protein.xtc;noH.xtc;whole.xtc,em2.gro;v229.gro;1ns.gro;npt1.gro;noH.gro;npt3.gro,v229_pullf.xvg
