sample_id,sample_dir,exists,has_sequences,shape_sequences,dtype_sequences,has_dssp_labels,shape_dssp_labels,dtype_dssp_labels,has_dynamic_features,shape_dynamic_features,dtype_dynamic_features,has_contact_maps,shape_contact_maps,dtype_contact_maps,has_contact_features,shape_contact_features,dtype_contact_features,has_residue_features,shape_residue_features,dtype_residue_features,has_seq_masks,shape_seq_masks,dtype_seq_masks,has_y_masks,shape_y_masks,dtype_y_masks,has_sequence_times_ps,length,ready,sample_id_int,split
0,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/0,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,0,train
1,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/1,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,1,train
2,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/2,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,2,train
3,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/3,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,3,test
4,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/4,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,4,train
5,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/5,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,5,train
6,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/6,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,6,test
7,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/7,True,True,28938.0,float32,True,5788x46,int64,True,5788x11,float32,True,5788x46x46,float32,True,5788x6,float32,True,46x55,float32,True,28938.0,int64,True,5788x46,int64,False,22.0,True,7,train
8,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/8,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,8,train
9,/media/zj/f6835876-8873-4931-8383-70fe383c9b741/IDPss-output/preprocess_data_current_clean_300_model10v2_threshold50_65_78_20260605/9,True,True,30001.0,float32,True,6001x46,int64,True,6001x11,float32,True,6001x46x46,float32,True,6001x6,float32,True,46x55,float32,True,30001.0,int64,True,6001x46,int64,False,22.0,True,9,train
